Region,Zone,Woreda,Pcode,Total Population,IDPs (Acute),Non-Displaced (Acute),TOTAL (Acute),IDPs (Moderate),Non-Displaced (Moderate),TOTAL (Moderate),Grand Total,IDP Male Children,IDP Female Children,IDP Male Adult,IDP Female Adult,IDP Male Elderly,IDP Female Elderly,IDP Male Children2,IDP Female Children2,IDP Male Adult2,IDP Female Adult2,IDP Male Elderly2,IDP Female Elderly2,ND Male Children,ND Female Children,ND Male Adult,ND Female Adult,ND Male Elderly,ND Female Elderly,ND Male Children2,ND Female Children3,ND Male Adult4,ND Female Adult5,ND Male Elderly6,ND Female Elderly7
Tigray,North Western,Tahtay Adiyabo,ET010101,104012.7241,0,5221.971057,5221.971057,0,1134.421847,1134.421847,6356.392903,0,0,0,0,0,0,0,0,0,0,0,0,1395.475853,1372.168807,1109.798249,1091.262551,127.6992054,125.5663909,303.1534026,298.0901762,241.0927532,237.0660552,27.74139627,27.2780633
Tigray,North Western,Laelay Adiabo,ET010102,131361.4962,427,1168.872962,1595.872962,0,644.9246639,644.9246639,2240.797626,72,62,174,113,5,1,0,0,0,0,0,0,306.0573187,313.4453512,243.4021884,249.2777652,28.00713199,28.68320667,168.8668656,172.9432063,134.2969507,137.5387952,15.45291129,15.82593491
Tigray,North Western,Medebay Zana,ET010103,145227.1746,109,6085,6194,0,1352.507169,1352.507169,7546.507169,10,8,71,18,1,1,0,0,0,0,0,0,1587.484056,1637.565944,1262.499113,1302.328387,145.2697674,149.8527326,352.848573,363.9802267,280.6144784,289.4672935,32.28897319,33.30762452
Tigray,North Western,Tahtay Koraro,ET010104,76935.78867,61,10910.054,10971.054,0,918.4703904,918.4703904,11889.52439,10,14,20,15,2,0,0,0,0,0,0,0,2864.528793,2917.799827,2278.111106,2320.476655,262.1314084,267.0062106,241.1523241,245.6369827,191.7843483,195.3509212,22.06771268,22.47810125
Tigray,North Western,Asgede Tsimbila,ET010105,156800.3646,403,7091.266272,7494.266272,0,4449.852018,4449.852018,11944.11829,107,98,107,79,8,4,0,0,0,0,0,0,1902.919569,1855.451555,1513.35962,1475.609114,174.1350927,169.7913215,1194.10415,1164.317419,949.6507534,925.9618722,109.2717949,106.546028
Tigray,North Western,Tselemti,ET010106,159609.3425,971,569.6692352,1540.669235,0,4382,4382,5922.669235,128,95,418,299,20,11,0,0,0,0,0,0,151.4299058,150.4947889,120.4296326,119.68595,13.85726497,13.77169294,1164.826545,1157.633455,926.3667714,920.6462286,106.5926178,105.9343822
Tigray,North Western,Sheraro Town,ET010107,28479.41078,231,0,231,0,284.7941078,284.7941078,515.7941078,59,42,73,53,3,1,0,0,0,0,0,0,0,0,0,0,0,0,75.36638557,75.57449156,59.93760664,60.1031098,6.896735283,6.915778945
Tigray,North Western,Shire,ET010108,78899.05275,3667,0,3667,0,788.9905275,788.9905275,4455.990527,764,1100,1311,457,26,9,0,0,0,0,0,0,0,0,0,0,0,0,201.8894929,216.2754866,160.5592854,172.0002219,18.47479322,19.79124736
Tigray,Central,Mereb Lehe,ET010201,123937.3375,2854,1852.666499,4706.666499,0,1239.373375,1239.373375,5946.039874,735,696,680,612,82,49,0,0,0,0,0,0,486.1467628,495.7664815,386.6242651,394.2746641,44.48701509,45.3673101,325.2163057,331.6515833,258.6390054,263.7568724,29.76036005,30.34924866
Tigray,Central,Aheferom,ET010202,206717.6123,4505,8525.026328,13030.02633,0,2067.176123,2067.176123,15097.20245,1112,1502,681,769,200,241,0,0,0,0,0,0,2181.572345,2336.69161,1734.96744,1858.331157,199.6344504,213.8293265,528.9947607,566.6085848,420.7005502,450.6141858,48.40801112,51.85003087
Tigray,Central,Werei Leke,ET010203,172085.634,551,3588.879869,4139.879869,0,811.1449362,811.1449362,4951.024805,96,92,212,143,4,4,0,0,0,0,0,0,928.9799047,973.1264257,738.8019431,773.9109216,85.01042524,89.05024839,209.964494,219.9423222,166.9811966,174.916394,19.21373199,20.12679741
Tigray,Central,Adwa,ET010204,111202.2979,0,1659.526377,1659.526377,0,1112.022979,1112.022979,2771.549356,0,0,0,0,0,0,0,0,0,0,0,0,433.2167533,446.3322268,344.5299273,354.9604408,39.64341987,40.84360943,290.2918513,299.0803274,230.8641798,237.8535057,26.564443,27.36867147
Tigray,Central,Laelay Maychew,ET010205,80992.1943,108,6552,6660,0,807.4961652,807.4961652,7467.496165,24,28,33,19,3,1,0,0,0,0,0,0,1715.926814,1756.633186,1364.647457,1397.020543,157.0234915,160.7485085,211.4780712,216.4948964,168.1849189,172.1747148,19.35223859,19.81132543
Tigray,Central,Tahtay Mayechew,ET010206,116751.791,287,2791,3078,0,1201.448061,1201.448061,4279.448061,26,22,155,83,1,0,0,0,0,0,0,0,723.3191442,755.9108558,575.2434326,601.1630674,66.19052546,69.17297454,311.3688224,325.39865,247.6263371,258.7840207,28.49318469,29.77704627
Tigray,Central,Naeder Adet,ET010207,118092.8514,98,1477.540212,1575.540212,0,8340.459788,8340.459788,9916,18,18,31,29,1,1,0,0,0,0,0,0,385.4960926,397.6002199,306.5784962,316.2047032,35.27652922,36.38417106,2176.058988,2244.3847,1730.582761,1784.92104,199.1299262,205.3823735
Tigray,Central,Kola Temben,ET010208,149814.1649,139,5466.965638,5605.965638,0,11932.78832,11932.78832,17538.75396,25,24,64,23,2,1,0,0,0,0,0,0,1430.889951,1466.601837,1137.96248,1166.363536,130.9399295,134.2079039,3123.214601,3201.16321,2483.839537,2545.830742,285.8036003,292.9366334
Tigray,Central,Tanqua Abergele,ET010210,107809.3748,81,286.1000679,367.1000679,0,6200,6200,6567.100068,19,15,32,13,1,1,0,0,0,0,0,0,76.90051132,74.73252467,61.1576708,59.43350783,7.037122262,6.838731031,1666.490937,1619.509063,1325.331943,1287.968057,152.4996423,148.2003577
Tigray,Central,Abi Adi Town,ET010211,26941.01718,834,0,834,0,269.4101718,269.4101718,1103.410172,158,114,376,173,9,4,0,0,0,0,0,0,0,0,0,0,0,0,72.25546778,70.53192328,57.46354655,56.09284087,6.612056957,6.454336376
Tigray,Central,Adwa Town,ET010212,67521.18231,3018,0,3018,0,675.2118231,675.2118231,3693.211823,166,217,1369,1215,34,17,0,0,0,0,0,0,0,0,0,0,0,0,169.0194182,188.842848,134.4182732,150.1835103,15.46687129,17.28090213
Tigray,Central,Axum Town,ET010213,74510.40243,2165,0,2165,0,745.1040243,745.1040243,2910.104024,502,510,695,438,9,11,0,0,0,0,0,0,0,0,0,0,0,0,191.4895293,203.4156035,152.288371,161.7729753,17.52309844,18.61444674
Tigray,Eastern,Gulo Mekeda,ET010301,99529.43442,1594,3608.229118,5202.229118,544,1286.696258,1830.696258,7032.925377,293.0037418,293.7492984,575.5696913,364.5771749,38.02338634,29.0767072,99.99625819,100.2507016,196.4303087,124.4228251,12.97661366,9.923292797,916.630427,995.7310056,728.9806132,791.8879601,83.88033153,91.1187807,326.8708561,355.0781609,259.9548412,282.3876317,29.91176702,32.49300152
Tigray,Eastern,Erob,ET010302,29573.80465,138,1894.668445,2032.668445,0,710.9411343,710.9411343,2743.60958,27,29,28,47,4,3,0,0,0,0,0,0,487.6949078,516.4793682,387.8554786,410.7472711,44.62868496,47.26273464,182.9989684,193.7998328,145.535972,154.1257161,16.74613201,17.734513
Tigray,Eastern,Saesie Tsaedamba,ET010303,165701.5019,573,5959.718253,6532.718253,479,931.0479793,1410.047979,7942.766232,49.02091255,47.38688213,364.9334601,101.8545627,7.625475285,2.178707224,40.97908745,39.61311787,305.0665399,85.14543726,6.374524715,1.821292776,1488.086773,1670.563901,1183.450141,1328.571102,136.1739783,152.872357,232.4741078,260.9813213,184.8827102,207.5540131,21.27357401,23.88225299
Tigray,Eastern,Ganta Afeshum,ET010304,100903.7193,1603,3540.06064,5143.06064,0,1253.912318,1253.912318,6396.972957,268,193,818,301,16,7,0,0,0,0,0,0,884.9303867,991.3017524,703.7701094,788.3654503,80.97947878,90.71346225,313.4480522,351.1254762,249.2799132,279.2441287,28.68345383,32.13129357
Tigray,Eastern,Hawzen,ET010305,135773.3029,2612,3175.893883,5787.893883,576,1525.334119,2101.334119,7889.228002,217.9397742,222.8557089,1415.78921,745.5834379,7.373902133,2.457967378,48.06022585,49.14429109,312.2107905,164.4165621,1.626097867,0.542032622,801.1089641,882.114794,637.1083554,701.5309163,73.30902785,80.72182549,384.7605999,423.6664829,305.9935714,336.9347596,35.20922471,38.76948004
Tigray,Eastern,Kelete Awelallo,ET010306,113865.2894,415,0,415,168,1138.652894,1306.652894,1721.652894,71.18353345,41.99828473,188.6363636,101.7924528,8.542024014,2.847341338,28.81646655,17.00171527,76.36363636,41.20754717,3.457975986,1.152658662,0,0,0,0,0,0,292.3195507,311.1664831,232.4767748,247.4654201,26.74999662,28.47466874
Tigray,Eastern,Atsbi Wenberta,ET010307,131463.1832,0,2602.465568,2602.465568,182,1002.137269,1184.137269,3786.602838,0,0,0,0,0,0,41,30,51,51,6,3,655.6658628,723.6408883,521.4399268,575.4993102,59.99961198,66.21996808,252.4787284,278.6540244,200.7920454,221.6088137,23.10418553,25.49947204
Tigray,Eastern,Adigrat Town,ET010308,96006.6339,2092,0,2092,0,960.066339,960.066339,3052.066339,285,288,963,539,9,8,0,0,0,0,0,0,0,0,0,0,0,0,240.1383071,268.6968525,190.9779178,213.690044,21.97492056,24.58829688
Tigray,Eastern,Wukro Town,ET010309,50420.64877,0,4452.603047,4452.603047,1501,2435.283741,3936.283741,8388.886788,0,0,0,0,0,0,251,217,649,362,12,10,1146.011826,1213.867789,911.4037444,965.3684398,104.8708935,111.0803543,626.7937961,663.9065867,498.4784624,527.9936345,57.35754549,60.75371595
Tigray,Southern,Alage,ET010404,124641.0922,186,1586.658181,1772.658181,0,397.0101877,397.0101877,2169.668369,34,22,70,47,9,4,0,0,0,0,0,0,409.8983812,431.030455,325.985222,342.7912015,37.50956884,39.44335296,102.5638888,107.8515107,81.56731908,85.77247502,9.385563406,9.869430696
Tigray,Southern,Endamehoni,ET010405,96140.53857,462,2554.36992,3016.36992,0,2009.220372,2009.220372,5025.590293,96,62,161,110,15,18,0,0,0,0,0,0,666.0693909,687.7466668,529.713676,546.9532454,60.95163294,62.93530819,523.9179255,540.9688718,416.6630294,430.2233575,47.9434328,49.50375525
Tigray,Southern,Raya Azebo,ET010406,160431.8998,4980,6577.424188,11557.42419,0,1385.726497,1385.726497,12943.15069,1175,839,1565,1150,157,94,0,0,0,0,0,0,1731.400794,1754.634026,1376.95365,1395.430645,158.4395066,160.5655665,364.7701424,369.6649011,290.0955,293.9882185,33.37990925,33.82782586
Tigray,Southern,Alamata,ET010407,97770.55116,1425,540.2600627,1965.260063,1168,75.96037489,1243.960375,3209.220438,412.1673737,335.7790204,336.3285769,241.2553027,64.8476668,34.62205939,337.8326263,275.2209796,275.6714231,197.7446973,53.1523332,28.37794061,141.5206533,144.8171799,112.5489724,115.170644,12.95047488,13.25213816,19.89775411,20.36124459,15.82434595,16.19295206,1.820832215,1.863245967
Tigray,Southern,Ofla,ET010408,141528.1837,136,3456.301222,3592.301222,0,2716.223158,2716.223158,6308.52438,21,17,49,42,4,3,0,0,0,0,0,0,891.1081778,940.7314696,708.6832018,748.1477631,81.54480495,86.0858043,700.3002672,739.2980066,556.9369106,587.9511505,64.08408105,67.65274211
Tigray,Southern,Maychew Town,ET010409,39103.18645,655,0,655,0,391.0318645,391.0318645,1046.031865,129,92,245,168,12,9,0,0,0,0,0,0,0,0,0,0,0,0,101.7798385,105.4670498,80.94377718,83.87615372,9.313815406,9.651230025
Tigray,Southern,Korem Town,ET010410,28089.77837,661,0,661,0,280.8977837,280.8977837,941.8977837,123,133,259,133,8,5,0,0,0,0,0,0,0,0,0,0,0,0,69.53941778,79.33640758,55.3035181,63.09489772,6.363512759,7.26002975
Tigray,Southern,Alamata Town,ET010411,55528.15578,1252,0,1252,0,555.2815578,555.2815578,1807.281558,487,270,275,162,32,26,0,0,0,0,0,0,0,0,0,0,0,0,149.0145627,145.284663,118.5087513,115.5424254,13.63623828,13.29491727
Tigray,Western,Kafta Humera,ET010501,119703.7347,501,0,501,0,1197.037347,1197.037347,1698.037347,59,62,241,122,13,4,0,0,0,0,0,0,0,0,0,0,0,0,333.1616857,301.2681084,264.9578312,239.5934107,30.48743728,27.56887407
Tigray,Western,Welkait,ET010502,160893.0151,0,0,0,0,1608.930151,1608.930151,1608.930151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.7100357,422.0229445,342.5363774,335.6276813,39.41403157,38.61908077
Tigray,Western,Tsegede (Tigray),ET010503,120920.9585,0,0,0,0,1209.209585,1209.209585,1209.209585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.5386272,316.3424527,258.1000592,251.5817808,29.69834607,28.94831879
Tigray,Western,Setit Humera,ET010504,36319.37867,692,0,692,0,363.1937867,363.1937867,1055.193787,84,102,364,118,17,7,0,0,0,0,0,0,0,0,0,0,0,0,105.2055833,87.2871237,83.66821385,69.41796724,9.627303373,7.987595282
Tigray,South Eastern,Saharti Samre,ET010601,143755.2299,177,7417.737374,7594.737374,0,12713.42495,12713.42495,20308.16232,27,16,83,48,2,1,0,0,0,0,0,0,1945.187646,1986.213162,1546.974704,1579.6016,178.0030205,181.7572422,3333.90034,3404.214883,2651.394327,2707.314289,305.083333,311.517777
Tigray,South Eastern,Enderta,ET010602,127456.1108,207,3170.441503,3377.441503,0,1795.960445,1795.960445,5173.401948,42,28,72,50,10,5,0,0,0,0,0,0,837.7578936,842.5761032,666.2546267,670.086467,76.66275064,77.10366227,474.564832,477.2942039,377.4133522,379.5839753,43.42715916,43.67692243
Tigray,South Eastern,Hintalo Wajirat,ET010603,177818.3651,1222,3621.521748,4843.521748,0,2016.396203,2016.396203,6859.917951,291,156,450,290,24,11,0,0,0,0,0,0,944.2658083,975.1407181,750.9585627,775.5128541,86.40922963,89.23457515,525.7497049,542.9402825,418.1198125,431.791187,48.1110579,49.68415793
Tigray,South Eastern,Dega Temben,ET010604,130689.9592,111,3508.065953,3619.065953,0,2158.57494,2158.57494,5777.640893,38,28,28,16,1,0,0,0,0,0,0,0,925.9348839,933.3400713,736.3802898,742.2695095,84.73177712,85.40942162,569.7440877,574.3006303,453.1077981,456.731539,52.13695897,52.5539256
Tigray,Mekele Special,Debub & Semen Mekele,ET011062,80039.57474,5586,0,5586,0,800.3957474,800.3957474,6386.395747,936,813,2380,1398,38,21,0,0,0,0,0,0,0,0,0,0,0,0,214.8001989,209.4095472,170.8269507,166.5398568,19.65624462,19.16294913
